affirmative_case_id,asylum_office,citizenship,race_or_ethnicity,case_outcome,completion_date,data_current_as_of
(b)(6),ZLA,MEXICO,OTHER,Admin Close/Dismissal,3/11/16,2021-05-28T05:04:16.000Z
(b)(6),ZLA,ROMANIA,OTHER,Admin Close/Dismissal,2/10/18,2021-05-28T05:04:37.000Z
(b)(6),ZLA,GUATEMALA,OTHER,Grant,11/20/15,2021-05-28T05:04:37.000Z
(b)(6),ZLA,SYRIA,OTHER,Admin Close/Dismissal,2/15/18,2021-05-28T05:04:22.000Z
(b)(6),ZLA,"CHINA, PEOPLE'S REPUBLIC OF",OTHER,Admin Close/Dismissal,3/28/16,2021-05-28T05:04:20.000Z
(b)(6),ZLA,"CHINA, PEOPLE'S REPUBLIC OF",CHINESE,Grant,12/23/15,2021-05-28T05:04:37.000Z
(b)(6),ZLA,IRAN,OTHER,Admin Close/Dismissal,6/30/17,2021-05-28T05:03:57.000Z
(b)(6),ZLA,"CHINA, PEOPLE'S REPUBLIC OF",OTHER,Admin Close/Dismissal,7/5/17,2021-05-28T05:03:57.000Z
(b)(6),ZLA,"CHINA, PEOPLE'S REPUBLIC OF",CHINESE,Grant,8/11/16,2021-05-28T05:04:37.000Z
(b)(6),ZLA,EL SALVADOR,OTHER,Admin Close/Dismissal,4/13/17,2021-05-28T05:04:38.000Z
(b)(6),ZLA,GUATEMALA,OTHER,Grant,3/13/17,2021-05-28T05:04:38.000Z
(b)(6),ZLA,"CHINA, PEOPLE'S REPUBLIC OF",CHINESE,Grant,11/3/17,2021-05-28T05:04:38.000Z
(b)(6),ZLA,HONDURAS,OTHER,Deny/Referral,6/9/17,2021-05-28T05:03:54.000Z
(b)(6),ZLA,EL SALVADOR,OTHER,Admin Close/Dismissal,10/2/17,2021-05-28T05:04:38.000Z
(b)(6),ZLA,RUSSIA,OTHER,Deny/Referral,12/26/17,2021-05-28T05:03:54.000Z
(b)(6),ZLA,UKRAINE,OTHER,Grant,12/27/17,2021-05-28T05:04:38.000Z
(b)(6),ZLA,EL SALVADOR,OTHER,Grant,3/3/16,2021-05-28T05:04:22.000Z
(b)(6),ZLA,GUATEMALA,OTHER,Grant,12/15/15,2021-05-28T05:04:38.000Z
(b)(6),ZLA,INDONESIA,CHINESE,Grant,7/9/18,2021-05-28T05:04:38.000Z
(b)(6),ZLA,"CHINA, PEOPLE'S REPUBLIC OF",OTHER,Admin Close/Dismissal,2/11/19,2021-05-28T05:04:30.000Z
(b)(6),ZLA,"CHINA, PEOPLE'S REPUBLIC OF",CHINESE,Deny/Referral,5/31/17,2021-05-28T05:03:54.000Z
(b)(6),ZLA,RUSSIA,ARMENIAN,Grant,5/3/18,2021-05-28T05:04:38.000Z
(b)(6),ZLA,"CHINA, PEOPLE'S REPUBLIC OF",OTHER,Admin Close/Dismissal,3/31/21,2021-05-28T05:04:08.000Z
(b)(6),ZLA,"CHINA, PEOPLE'S REPUBLIC OF",OTHER,Admin Close/Dismissal,2/1/17,2021-05-28T05:04:38.000Z
(b)(6),ZLA,"CHINA, PEOPLE'S REPUBLIC OF",OTHER,Admin Close/Dismissal,11/10/20,2021-05-28T05:04:45.000Z
(b)(6),ZLA,EL SALVADOR,OTHER,Grant,10/25/16,2021-05-28T05:04:38.000Z
(b)(6),ZLA,EL SALVADOR,OTHER,Grant,10/25/16,2021-05-28T05:04:38.000Z
(b)(6),ZLA,"CHINA, PEOPLE'S REPUBLIC OF",OTHER,Admin Close/Dismissal,1/12/16,2021-05-28T05:04:09.000Z
(b)(6),ZLA,"CHINA, PEOPLE'S REPUBLIC OF",OTHER,Grant,8/22/17,2021-05-28T05:04:38.000Z
(b)(6),ZLA,MEXICO,OTHER,Admin Close/Dismissal,7/24/17,2021-05-28T05:04:38.000Z
(b)(6),ZLA,RUSSIA,RUSSIAN,Grant,11/17/17,2021-05-28T05:04:38.000Z
(b)(6),ZLA,MEXICO,OTHER,Deny/Referral,3/3/16,2021-05-28T05:03:55.000Z
(b)(6),ZLA,MEXICO,OTHER,Deny/Referral,12/22/15,2021-05-28T05:03:55.000Z
(b)(6),ZLA,"CHINA, PEOPLE'S REPUBLIC OF",CHINESE,Deny/Referral,3/20/17,2021-05-28T05:03:55.000Z
(b)(6),ZLA,"CHINA, PEOPLE'S REPUBLIC OF",OTHER,Admin Close/Dismissal,5/17/19,2021-05-28T05:04:19.000Z
(b)(6),ZLA,MEXICO,OTHER,Deny/Referral,2/14/18,2021-05-28T05:03:55.000Z
(b)(6),ZLA,SYRIA,OTHER,Deny/Referral,1/11/21,2021-05-28T05:03:55.000Z
(b)(6),ZLA,EL SALVADOR,OTHER,Grant,11/30/16,2021-05-28T05:04:38.000Z
(b)(6),ZLA,RUSSIA,OTHER,Grant,5/16/17,2021-05-28T05:04:38.000Z
(b)(6),ZLA,RUSSIA,OTHER,Grant,5/16/17,2021-05-28T05:04:38.000Z
(b)(6),ZLA,"CHINA, PEOPLE'S REPUBLIC OF",OTHER,Admin Close/Dismissal,9/18/17,2021-05-28T05:04:24.000Z
(b)(6),ZLA,MEXICO,OTHER,Admin Close/Dismissal,9/12/17,2021-05-28T05:04:38.000Z
(b)(6),ZLA,EL SALVADOR,OTHER,Deny/Referral,12/5/17,2021-05-28T05:03:55.000Z
(b)(6),ZLA,MEXICO,OTHER,Deny/Referral,8/2/17,2021-05-28T05:03:55.000Z
(b)(6),ZLA,RUSSIA,OTHER,Grant,9/28/17,2021-05-28T05:04:38.000Z
(b)(6),ZLA,MEXICO,OTHER,Admin Close/Dismissal,10/11/17,2021-05-28T05:04:25.000Z
(b)(6),ZLA,"CHINA, PEOPLE'S REPUBLIC OF",OTHER,Grant,3/17/21,2021-05-28T05:03:55.000Z
(b)(6),ZLA,MEXICO,OTHER,Deny/Referral,10/18/17,2021-05-28T05:03:55.000Z
(b)(6),ZLA,MEXICO,OTHER,Deny/Referral,10/13/17,2021-05-28T05:03:55.000Z
(b)(6),ZLA,EL SALVADOR,OTHER,Deny/Referral,2/7/18,2021-05-28T05:03:55.000Z
(b)(6),ZLA,UKRAINE,OTHER,Admin Close/Dismissal,8/7/19,2021-05-28T05:04:38.000Z
(b)(6),ZLA,MEXICO,OTHER,Deny/Referral,11/3/17,2021-05-28T05:04:38.000Z
(b)(6),ZLA,MEXICO,OTHER,Deny/Referral,2/5/19,2021-05-28T05:03:55.000Z
(b)(6),ZLA,EL SALVADOR,OTHER,Deny/Referral,10/13/17,2021-05-28T05:03:55.000Z
(b)(6),ZLA,EL SALVADOR,OTHER,Deny/Referral,2/15/18,2021-05-28T05:03:55.000Z
(b)(6),ZLA,"CHINA, PEOPLE'S REPUBLIC OF",OTHER,Admin Close/Dismissal,4/18/18,2021-05-28T05:04:38.000Z
(b)(6),ZLA,MEXICO,OTHER,Admin Close/Dismissal,10/14/17,2021-05-28T05:04:09.000Z
(b)(6),ZLA,MEXICO,OTHER,Deny/Referral,4/29/21,2021-05-28T05:03:55.000Z
(b)(6),ZLA,EL SALVADOR,OTHER,Deny/Referral,11/4/20,2021-05-28T05:03:55.000Z
(b)(6),ZLA,EL SALVADOR,OTHER,Deny/Referral,10/31/17,2021-05-28T05:03:55.000Z
(b)(6),ZLA,"CHINA, PEOPLE'S REPUBLIC OF",OTHER,Admin Close/Dismissal,9/24/19,2021-05-28T05:04:38.000Z
(b)(6),ZLA,GUATEMALA,OTHER,Deny/Referral,8/1/18,2021-05-28T05:03:55.000Z
(b)(6),ZLA,GUATEMALA,UNKNOWN,Deny/Referral,7/11/18,2021-05-28T05:03:55.000Z
